case_type,issue_type,support_segment,zendesk_tier,channel,sales_territory,billing_region,zendesk_tickets,fin_only_resolved,support_contacts
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Email (Internal),NORAM,UK,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Email (Internal),Singapore/ANZ,APAC,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Email (Internal),Southern Europe,EEA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Email (Internal),UAE,MENA,4,0,4
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Email (Internal),UK,Crypto,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Email (Internal),Unknown,Crypto,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Email (Internal),Unknown,UK,3,0,3
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Email (Internal),WW,APAC,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Email (Internal),WW,EEA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Email (Internal),WW,UK,3,0,3
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Email (Merchant),Crypto,Crypto,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Email (Merchant),GCR,APAC,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Email (Merchant),NORAM,UK,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Email (Merchant),Singapore/ANZ,APAC,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Email (Merchant),Singapore/ANZ,NORAM,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Email (Merchant),UAE,MENA,3,0,3
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Email (Merchant),UK,EEA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Email (Merchant),UK,UK,4,0,4
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Email (Merchant),Unknown,NORAM,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Email (Merchant),WW,APAC,3,0,3
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Email (Merchant),WW,EEA,3,0,3
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Email (Merchant),WW,UK,5,0,5
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Fin (Dashboard),Crypto,Crypto,0,1,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Fin (Dashboard),NORAM,Israel,0,1,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Fin (Dashboard),NORAM,UK,0,3,3
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Fin (Dashboard),SAT,NORAM,0,2,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Fin (Dashboard),Singapore/ANZ,APAC,0,1,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Fin (Dashboard),UAE,MENA,1,3,4
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Fin (Dashboard),UK,Crypto,0,1,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Fin (Dashboard),UK,EEA,0,1,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Fin (Dashboard),UK,UK,0,1,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Fin (Dashboard),Unknown,UK,0,1,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Fin (Dashboard),WW,UK,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Other,GCR,APAC,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Other,Southern Europe,EEA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Other,UK,EEA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Other,UK,UK,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Other,WW,UK,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Webform & API,Crypto,Crypto,3,0,3
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Webform & API,GCR,APAC,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Webform & API,NORAM,NORAM,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Webform & API,NORAM,UK,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Webform & API,SAT,SAT,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Webform & API,UAE,MENA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Webform & API,UK,EEA,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Webform & API,WW,EEA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Webform & API,WW,UK,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Standard,Tier 2,Email (Internal),Central Europe,EEA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Standard,Tier 2,Email (Internal),Crypto,Crypto,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Standard,Tier 2,Email (Internal),NORAM,NORAM,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Standard,Tier 2,Email (Internal),UAE,MENA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Standard,Tier 2,Email (Merchant),Crypto,Crypto,5,0,5
ACCOUNT MANAGEMENT & ACCESS,Account changes,Standard,Tier 2,Email (Merchant),GCR,APAC,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Standard,Tier 2,Email (Merchant),UAE,MENA,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Standard,Tier 2,Email (Merchant),UK,UK,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Standard,Tier 2,Fin (Dashboard),Crypto,Crypto,0,1,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Standard,Tier 2,Fin (Dashboard),Singapore/ANZ,APAC,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Standard,Tier 2,Fin (Dashboard),UK,UK,0,2,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Standard,Tier 2,Other,GCR,APAC,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Standard,Tier 2,Webform & API,GCR,APAC,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Standard,Tier 2,Webform & API,Mauritius,NORAM,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Standard,Tier 2,Webform & API,UAE,MENA,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Standard,Tier 3,Email (Internal),Central Europe,EEA,3,0,3
ACCOUNT MANAGEMENT & ACCESS,Account changes,Standard,Tier 3,Email (Internal),Central Europe,Mauritius,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Standard,Tier 3,Email (Internal),Crypto,Crypto,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Standard,Tier 3,Email (Internal),GCR,APAC,6,0,6
ACCOUNT MANAGEMENT & ACCESS,Account changes,Standard,Tier 3,Email (Internal),Issuing,EEA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Standard,Tier 3,Email (Internal),NORAM,APAC,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Standard,Tier 3,Email (Internal),NORAM,Israel,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Standard,Tier 3,Email (Internal),Northern Europe,EEA,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Standard,Tier 3,Email (Internal),Singapore/ANZ,APAC,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Standard,Tier 3,Email (Internal),Singapore/ANZ,NORAM,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Standard,Tier 3,Email (Internal),Southern Europe,EEA,3,0,3
ACCOUNT MANAGEMENT & ACCESS,Account changes,Standard,Tier 3,Email (Internal),Southern Europe,Mauritius,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Standard,Tier 3,Email (Internal),UAE,MENA,5,0,5
ACCOUNT MANAGEMENT & ACCESS,Account changes,Standard,Tier 3,Email (Internal),UAE,Mauritius,3,0,3
ACCOUNT MANAGEMENT & ACCESS,Account changes,Standard,Tier 3,Email (Internal),UAE,Unknown,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Standard,Tier 3,Email (Internal),UK,EEA,1,0,1
